text,category,quality
Build a Python script to scrape weather information from a website and display the current temperature and forecast.,Programming,good
Create a PHP function to sort an array of integers in ascending order.,Programming,poor
"Design a Java class to represent a point in 3D space with properties for x, y, and z coordinates. The class should include methods to get and set these properties.",Programming,excellent
Write a Python function to generate a Fibonacci sequence up to a specified length.,Programming,good
Implement a C++ function to calculate the area and perimeter of a rectangle given its width and height.,Programming,excellent
Build a Java program to simulate a traffic light with methods to start and stop the light.,Programming,good
Create a Python script to read a JSON file and display the contents.,Programming,poor
Design a JavaScript function to validate a credit card number using the Luhn algorithm.,Programming,excellent
Write a C++ function to calculate the factorial of a given integer using recursion.,Programming,good
"Implement a Python class to represent a calendar with properties for year, month, and day. The class should include methods to get and set these properties.",Programming,excellent
Build a Java program to simulate a vending machine with methods to dispense and restock items.,Programming,good
Create a JavaScript function to sort an array of strings in ascending order.,Programming,poor
Design a Python function to generate a random permutation of a list of numbers.,Programming,excellent
Write a C++ function to calculate the sum of an array of numbers.,Programming,good
Implement a PHP function to create a copy of a given array.,Programming,poor
"Build a Java class to represent a book with properties for title, author, and publisher. The class should include methods to get and set these properties.",Programming,excellent
Create a Python script to read a text file and display the contents.,Programming,poor
Design a JavaScript function to validate a phone number using a regular expression.,Programming,excellent
Write a C++ function to calculate the area of a circle given its radius.,Programming,good
"Implement a Python class to represent a bank account with properties for account number, balance, and owner. The class should include methods to deposit and withdraw money.",Programming,excellent
Build a Java program to simulate a clock with methods to display the current time and set the time.,Programming,good
Create a JavaScript function to convert a string to uppercase using the toUpperCase() method.,Programming,poor
Design a Python function to sort a list of numbers in ascending order using the quicksort algorithm.,Programming,excellent
Write a C++ function to calculate the area of a rectangle given its width and height.,Programming,good
Implement a PHP function to validate a username and password combination.,Programming,poor
Build a Java class to represent a point in 2D space with properties for x and y coordinates. The class should include methods to get and set these properties.,Programming,excellent
Create a Python script to read a CSV file and display the header row and first 10 rows of data.,Programming,poor
Design a JavaScript function to convert a binary number to decimal using bitwise operations.,Programming,excellent
Write a C++ function to calculate the square root of a given number using the Babylonian method.,Programming,good
Implement a Python class to represent a stack with methods to push and pop elements.,Programming,excellent
Build a Java program to simulate a bank system with methods to deposit and withdraw money.,Programming,good
Create a JavaScript function to sort an array of objects in ascending order based on a specific property.,Programming,poor
Design a Python function to generate a random permutation of a list of numbers using the Fisher-Yates shuffle algorithm.,Programming,excellent
"Create a Python function to calculate the average word length of a given text file, considering only words with 3 or more characters. Handle exceptions for invalid file paths and ensure the result is rounded to two decimal places.",Programming,excellent
"Write a JavaScript class to represent a bank account. The class should have properties for account number, balance, and account holder's name. Include methods to deposit and withdraw funds, and calculate the interest rate based on the balance.",Programming,excellent
"Design a C++ API for a simple calculator that performs basic arithmetic operations like addition, subtraction, multiplication, and division. Include error handling for division by zero and ensure the API is thread-safe.",Programming,excellent
"Write a Python script to scrape product information from an e-commerce website using BeautifulSoup and requests libraries. The script should extract product titles, prices, and descriptions.",Programming,good
"Create a Java program to implement a stack data structure using arrays. Include methods for push, pop, and peek operations.",Programming,good
Develop a Ruby on Rails application to manage customer data. Include CRUD operations for customers and ensure data validation.,Programming,good
"Build a PHP web application to display a list of employees with their names, positions, and salaries. Include a search function to filter employees by name or position.",Programming,good
"Create a Python script to monitor system resources using the psutil library. Monitor CPU usage, memory usage, and disk usage.",Programming,good
"Design an Android app to display a countdown timer with a user-inputted time period. Include a start and stop button, and display the remaining time in hours, minutes, and seconds.",Programming,poor
Write a JavaScript code to check if a number is prime.,Programming,poor
Create a Python script to convert images from one format to another using Pillow library.,Programming,good
"Develop a Java program to implement a queue data structure using linked lists. Include methods for enqueue, dequeue, and peek operations.",Programming,good
Build a Node.js API to manage a list of books. Include CRUD operations for books and ensure data validation.,Programming,good
"Write a C++ code to simulate a simple banking system with multiple accounts. Include methods for deposit, withdrawal, and balance inquiry.",Programming,excellent
Create a Python script to simulate a coin toss using the random library.,Programming,poor
"Design a Python GUI application using tkinter to display a to-do list with add, remove, and mark as done functionality.",Programming,good
"Implement a Python class to represent a student with attributes for name, age, and grades. Include methods to calculate the average grade and print the student's report card.",Programming,excellent
Write a Java code to check if a string is a palindrome.,Programming,poor
Create a Ruby on Rails application to manage a list of orders. Include CRUD operations for orders and ensure data validation.,Programming,good
Design a JavaScript API for a simple chatbot that responds to user input with predefined messages.,Programming,good
Develop a PHP web application to display a list of products with their prices and descriptions. Include a search function to filter products by name or price.,Programming,good
Write a C++ code to simulate a simple game of rock-paper-scissors.,Programming,poor
Create a Python script to monitor network traffic using the scapy library.,Programming,good
"Implement a Java class to represent a rectangle with attributes for width, height, and color. Include methods to calculate the area and perimeter.",Programming,excellent
Design a Python GUI application using PyQt to display a simple calculator with buttons for numbers and operators.,Programming,good
Write a JavaScript code to check if a number is odd or even.,Programming,poor
Create a Ruby on Rails application to manage a list of users. Include CRUD operations for users and ensure data validation.,Programming,good
Develop a Node.js API to manage a list of articles. Include CRUD operations for articles and ensure data validation.,Programming,good
Write a C++ code to simulate a simple weather forecasting system with temperature and humidity.,Programming,poor
"Design a Python GUI application using wxPython to display a simple clock with hours, minutes, and seconds.",Programming,good
Implement a Java class to represent a circle with attributes for radius and color. Include methods to calculate the area and circumference.,Programming,excellent
Create a Python script to simulate a simple game of tic-tac-toe.,Programming,poor
Write a JavaScript code to check if a string is a valid email address.,Programming,poor
"Design a Python GUI application using tkinter to display a simple password manager with add, remove, and edit functionality.",Programming,good
"Develop a PHP web application to display a list of customers with their names, addresses, and contact information. Include a search function to filter customers by name or address.",Programming,good
Implement a Java class to represent a complex number with attributes for real and imaginary parts.,Programming,good
Create a Python script to monitor system logs using the logging library.,Programming,good
Write a JavaScript code to simulate a simple game of hangman.,Programming,poor
Design a Ruby on Rails application to manage a list of products. Include CRUD operations for products and ensure data validation.,Programming,good
Develop a Node.js API to manage a list of users. Include CRUD operations for users and ensure data validation.,Programming,good
Write a C++ code to simulate a simple game of chess.,Programming,poor
"Implement a Python class to represent a student with attributes for name, age, and grades. Include methods to calculate the average grade and print the student's report card.",Programming,excellent
"Create a GUI application using tkinter to display a simple to-do list with add, remove, and mark as done functionality.",Programming,good
Write a JavaScript code to check if a number is prime.,Programming,poor
"Design a Python GUI application using wxPython to display a simple clock with hours, minutes, and seconds.",Programming,good
Develop a PHP web application to display a list of products with their prices and descriptions. Include a search function to filter products by name or price.,Programming,good
"Write a C++ code to simulate a simple banking system with multiple accounts. Include methods for deposit, withdrawal, and balance inquiry.",Programming,excellent
Create a Ruby on Rails application to manage a list of orders. Include CRUD operations for orders and ensure data validation.,Programming,good
"Develop a model to predict student's likelihood to drop out of college based on their high school GPA, ACT scores, and family income. Provide a Python implementation and use a supervised learning approach. Use a dataset from a reputable source and evaluate the model's performance using a confusion matrix and ROC-AUC curve. Consider using class weights to handle imbalanced data. Report the results in a table format.",Machine Learning,excellent
Build a chatbot that can answer frequently asked questions about a new product. The chatbot should be able to understand user queries and respond accordingly. Use a combination of natural language processing and machine learning to achieve this. Implement the chatbot using Python and deploy it on a cloud platform like AWS or Google Cloud. Optimize the chatbot's performance to handle a large volume of queries concurrently.,Machine Learning,excellent
Create a model to classify images into different animal species. The model should be able to handle images of varying sizes and formats. Use a dataset from a reputable source and evaluate the model's performance using accuracy and precision metrics. Consider using data augmentation to improve the model's performance. Report the results in a table format.,Machine Learning,excellent
Develop a recommender system for a e-commerce website. The system should be able to recommend products to users based on their past purchases and browsing history. Use a dataset from a reputable source and evaluate the system's performance using metrics such as precision and recall. Consider using collaborative filtering to improve the system's performance.,Machine Learning,good
Build a model to predict the stock prices of a company. The model should be able to handle historical data and make predictions for future time steps. Use a dataset from a reputable source and evaluate the model's performance using metrics such as mean absolute error and mean squared error. Consider using a combination of supervised and unsupervised learning approaches to improve the model's performance.,Machine Learning,good
"Develop a model to classify text into positive, negative, or neutral categories. The model should be able to handle text of varying lengths and formats. Use a dataset from a reputable source and evaluate the model's performance using accuracy and precision metrics.",Machine Learning,good
Create a model to predict the weather in a given location. The model should be able to handle historical data and make predictions for future time steps. Use a dataset from a reputable source and evaluate the model's performance using metrics such as mean absolute error and mean squared error.,Machine Learning,good
Develop a recommender system for a social media platform. The system should be able to recommend content to users based on their past interactions and preferences.,Machine Learning,poor
Build a model to predict the likelihood of a loan being repaid. The model should be able to handle historical data and make predictions for future time steps. Use a combination of supervised and unsupervised learning approaches to improve the model's performance.,Machine Learning,good
Create a model to classify images into different object categories. The model should be able to handle images of varying sizes and formats. Use a dataset from a reputable source and evaluate the model's performance using accuracy and precision metrics.,Machine Learning,excellent
Develop a chatbot that can answer frequently asked questions about a company's products and services. The chatbot should be able to understand user queries and respond accordingly. Use a combination of natural language processing and machine learning to achieve this. Implement the chatbot using Python and deploy it on a cloud platform like AWS or Google Cloud.,Machine Learning,excellent
Build a model to predict the stock prices of a company based on historical data and economic indicators. The model should be able to handle large datasets and make predictions for future time steps. Use a combination of supervised and unsupervised learning approaches to improve the model's performance.,Machine Learning,good
Create a model to classify text into different categories based on its sentiment. The model should be able to handle text of varying lengths and formats. Use a dataset from a reputable source and evaluate the model's performance using accuracy and precision metrics.,Machine Learning,excellent
Develop a recommender system for a e-commerce website that suggests products to users based on their past purchases and browsing history. The system should be able to handle large datasets and make recommendations in real-time. Use a combination of collaborative filtering and content-based filtering to improve the system's performance.,Machine Learning,good
Build a model to predict the likelihood of a user engaging with a marketing campaign. The model should be able to handle historical data and make predictions for future time steps. Use a combination of supervised and unsupervised learning approaches to improve the model's performance.,Machine Learning,good
Create a model to classify images into different animal species based on their characteristics. The model should be able to handle images of varying sizes and formats. Use a dataset from a reputable source and evaluate the model's performance using accuracy and precision metrics.,Machine Learning,excellent
Develop a chatbot that can answer frequently asked questions about a company's products and services. The chatbot should be able to understand user queries and respond accordingly. Use a combination of natural language processing and machine learning to achieve this. Implement the chatbot using Python and deploy it on a cloud platform like AWS or Google Cloud.,Machine Learning,excellent
