text,category,overall_score,task_clarity,context_score,specificity,role_definition,output_format,examples,constraints
Develop a system to classify customer reviews as positive or negative. ,Machine Learning,17,12,0,5,0,0,0,0
Write an article about AI ethics.,Research,15,5,5,5,0,0,0,0
Write a shell script to automate the creation of AWS IAM roles and policies for our company's DevOps team.,DevOps,34,12,10,12,0,0,0,0
Create a model to classify images into different object categories based on their characteristics. The model should be able to handle images of varying sizes and formats.,Machine Learning,32,12,5,10,0,0,0,5
Design a JavaScript application that can handle user authentication.,Programming,22,12,0,10,0,0,0,0
Develop a Python program to perform merge sort on a list of integers,Programming,30,15,0,15,0,0,0,0
Create a sales page for a hardware product. Include a list of features and benefits.,Writing,27,12,0,10,0,5,0,0
Analyze the customer churn rate of a telecom company based on its customer usage patterns.,Machine Learning,35,12,10,13,0,0,0,0
Implement a stack using a linked list in Python.,Programming,35,15,5,15,0,0,0,0
Develop a system to classify customers based on their creditworthiness. ,Machine Learning,17,12,0,5,0,0,0,0
Explore the effects of social media on mental health.,Research,22,12,5,5,0,0,0,0
I need a C++ program that sorts an array of integers in ascending order using quicksort. The program should take an array and its size as input and return the sorted array.,General,45,15,0,15,0,15,0,0
Create a model to predict stock prices based on historical data. Use only technical indicators. ,Machine Learning,32,12,5,10,0,0,0,5
"Develop a model to classify text into positive, negative, or neutral categories. The model should be able to handle text of varying lengths and formats. Use a dataset from a reputable source and evaluate the model's performance using accuracy and precision metrics.",Machine Learning,54,12,10,12,5,10,0,5
Implement a simple queue data structure in Python.,Programming,30,15,0,15,0,0,0,0
"Develop a recommendation system for music streaming services using collaborative filtering and matrix factorization. Implement the model in Python with a code repository hosted on GitHub. Provide a detailed report in a Jupyter Notebook, including explanation, code, and visualizations. ",Research,34,12,0,10,0,12,0,0
Develop a model to predict customer churn for telecom users based on usage patterns over the past 3 months. Output a probability score and top 5 features contributing to churn.,Machine Learning,54,12,10,12,5,10,0,5
Design a Python GUI application using PyQt to display a simple calculator with buttons for numbers and operators.,Programming,37,15,10,12,0,0,0,0
Explain the concept of a black hole.,Writing,30,10,5,5,0,0,0,0
I need a script to convert a PDF file to a Word document.,General,35,10,5,10,0,10,0,0
Create a Java application that plays a simple game of tic-tac-toe against a human player.,General,44,12,5,12,5,10,0,0
Design a microservice architecture using Node.js and Express for a real-time analytics application,Programming,34,12,10,12,0,0,0,0
Train a model to classify breast cancer images using a publicly available dataset. Compare its performance with a traditional machine learning approach. ,Machine Learning,49,12,10,12,5,10,0,0
Create a deployment script for a Java application using Kubernetes and output the YAML file in the format specified by the Kubernetes configuration file.,DevOps,49,12,10,12,0,12,0,5
Develop a Java Spring Boot application that integrates with Apache Cassandra for distributed NoSQL database. Implement data retrieval and error handling. quality: excellent,DevOps,40,12,10,13,5,0,0,0
Study the effect of exercise on anxiety.,Research,17,12,0,5,0,0,0,0
"Develop a Python script to analyze the sentiment of customer reviews for an e-commerce company, considering both the product and the company itself. Output should be a CSV file with columns for the review ID, product name, overall sentiment, and a binary classification of whether the review is positive or negative. The script should handle missing values and outliers, and include comments explaining each section of the code.",Research,59,12,10,12,5,10,0,10
"Can you write a function that prints 'Hello, World!' to the console 10 times?",General,40,15,0,15,0,15,0,5
Create a JavaScript function to sort an array of objects in ascending order based on a specific property.,Programming,50,15,10,15,0,10,0,0
"Train a model to classify product reviews as positive or negative using a dataset of 10,000 reviews. Output a precision and recall score.",Machine Learning,44,12,5,12,0,10,0,5
Develop a Go program to automate the process of checking for disk space usage on a Linux server.,DevOps,34,12,10,12,0,0,0,0
Create a Python script to automate Jenkins build and deployment for a Python application. Use Jenkins API and handle build states. quality: good,DevOps,54,12,10,12,5,10,0,5
Describe a day in the life of a person. Write using 250 words.,Writing,15,5,0,0,0,5,0,5
Create a predictive model to forecast energy consumption based on weather patterns and historical data.,Machine Learning,34,12,10,12,0,0,0,0
Design a REST API using Django to handle user registration and login.,Programming,34,12,10,12,0,0,0,0
"Write a 5-paragraph essay on the cultural impact of virtual reality on society by 2025, including a critique of its accessibility and social implications. Format the essay as a persuasive piece with a clear thesis statement. Assume an audience with a background in social sciences. Limit the text to 750 words.",Writing,64,12,10,12,5,13,0,12
"I need a story about a person who overcomes a tragic event in their life. The story should be 4-5 pages long, written in the third person, and include themes of resilience and hope. Use vivid descriptions to bring the character to life.",Writing,41,12,5,13,0,10,0,5
Explain the benefits of meditation.,Writing,15,10,0,5,0,0,0,0
Compare and contrast the features and pricing plans of popular cloud computing platforms.,Research,44,12,10,12,0,10,0,0
Build a model to classify images into different categories.,Machine Learning,17,12,0,5,0,0,0,0
Develop a Python script to check if a given string is a valid email or not.,Programming,40,15,10,15,0,0,0,0
Build a neural network for classifying handwritten digits. Use MNIST dataset and achieve at least 95% accuracy. ,Machine Learning,49,12,10,12,5,0,0,10
Write a Python function to find the maximum and minimum elements in a 2D array.,Programming,30,15,0,15,0,0,0,0
"Write a historical fiction novel chapter 5. The war had ended, and the survivors must rebuild their lives.",Writing,27,12,5,10,0,0,0,0
Build a model to classify text into different categories based on its sentiment and tone. The model should be able to handle text of varying lengths and formats. Use a dataset from a reputable source and evaluate the model's performance using accuracy and precision metrics.,Machine Learning,59,12,10,12,5,10,0,10
Explain the concept of natural language processing and its applications.,Writing,25,10,5,5,0,5,0,0
Develop a recommender system for a e-commerce website that suggests products to users based on their past purchases and browsing history. The system should be able to handle large datasets and make recommendations in real-time. Use a combination of collaborative filtering and content-based filtering to improve the system's performance.,Machine Learning,50,12,10,13,5,5,0,5
Develop a tool to automate the process of sending reminders to users.,General,27,12,5,10,0,0,0,0
"Create a C++ class for a stack with push, pop, and peek operations.",Programming,30,15,0,15,0,0,0,0
Can you write a script to deploy a Ruby on Rails application to a Heroku platform? Please provide the code and a step-by-step explanation of how it works.,DevOps,49,12,10,12,5,10,0,0
Write a short story about a person who is struggling to find their place in the world. Write using 500 words.,Writing,37,12,5,5,0,10,0,5
Write a sci-fi short story about a group of space explorers who stumble upon an abandoned alien city on a remote planet in the Alpha Centauri system.,Writing,34,12,10,12,0,0,0,0
I need a program that does something with data,General,5,5,0,0,0,0,0,0
"Generate a JavaScript function that calculates the total cost of items in a shopping cart, taking into account sales tax and discounts.",General,50,15,10,15,0,10,0,0
Develop a system to classify text as informative or not. ,Machine Learning,17,12,0,5,0,0,0,0
Create a C++ program that takes a list of integers and returns the sum of the squares of the even numbers.,General,45,15,0,15,0,15,0,0
Create a JavaScript function to check if a string is a palindrome.,General,30,15,0,15,0,0,0,0
Develop a model to predict the likelihood of a customer making a purchase based on their browsing history and purchase behavior.,Machine Learning,54,12,10,12,5,10,5,0
Use Python and the Scikit-image library to apply edge detection techniques (such as Canny or Sobel) to an image and visualize the results.,Research,49,12,10,12,5,10,0,0
Build a model to classify images into different categories using transfer learning. ,Machine Learning,27,12,5,10,0,0,0,0
Create a Python function to calculate the average rating of products in an e-commerce platform given a list of product IDs and corresponding ratings. The function should handle missing ratings and return a dictionary with product IDs as keys and average ratings as values.,Programming,54,12,10,12,5,12,0,5
What is recursion?,General,25,10,5,10,0,0,0,0
Create a C++ function to calculate the factorial of a given integer. The function should handle negative numbers and return an error message.,Programming,44,12,5,12,0,10,0,5
Describe a typical day in the life of a chef.,Writing,27,12,5,5,5,0,0,0
Develop a recommender system for an e-commerce platform based on customer purchase history and product categories. The system should be able to handle missing values and recommend at least 5 products per user. Provide a detailed report and code for the same. ,Machine Learning,54,12,10,12,5,10,0,5
Create a script for a children's story about a group of animals who learn to work together to overcome a challenge. Include a catchy song and a visually appealing setting.,Writing,32,12,5,10,0,5,0,0
"Create a Python script to perform data visualization for a machine learning task (e.g., plotting decision boundaries, visualizing feature importance). Use the Iris dataset for evaluation and provide a plot showing the results.",Research,64,12,10,12,5,10,10,5
Write a C# program to display the Fibonacci sequence up to the nth number.,General,35,15,5,15,0,0,0,0
Write a product review of a new wireless headphone model. Focus on its sound quality and battery life.,Writing,27,12,5,10,0,0,0,0
Implement a simple queue data structure in C++.,Programming,27,12,5,10,0,0,0,0
"Write a Python script to scrape product information from an e-commerce website using BeautifulSoup and requests libraries. The script should extract product titles, prices, and descriptions.",Programming,34,12,10,12,0,0,0,0
Create a model to classify text as spam or not spam using natural language processing and machine learning. Provide a code repository hosted on GitHub and a detailed report in a Markdown document. ,Research,50,15,10,10,0,15,0,0
Write a personal essay about a challenging experience you had and how it shaped your perspective on life.,Writing,27,12,5,10,0,0,0,0
Write a Python function to generate a Fibonacci sequence up to a specified length.,Programming,30,15,0,15,0,0,0,0
Write a Java program to find the prime numbers up to a given number.,General,30,15,0,15,0,0,0,0
Create a user manual for a new software product. Include installation instructions and setup guide.,Writing,20,10,0,5,0,5,0,0
Tell me about the future of space exploration.,Research,5,5,0,0,0,0,0,0
Can you generate a Ruby script to scrape data from a website and store it in a CSV file?,General,37,12,5,10,0,10,0,0
Develop a model to predict the weather in a given location based on historical data and climate indicators.,Machine Learning,49,12,10,12,5,10,0,0
Write a JavaScript function that takes a string and returns the first occurrence of the word 'hello'.,General,32,12,0,10,0,10,0,0
Develop a recommender system for movies based on user ratings and genre.,Machine Learning,22,12,0,10,0,0,0,0
Build a model to predict the stock prices of a company based on historical data and economic indicators. The model should be able to handle large datasets and make predictions for future time steps. Use a combination of supervised and unsupervised learning approaches to improve the model's performance.,Machine Learning,44,12,10,12,0,5,0,5
Create a script that generates a 5x5 matrix with random numbers between 1 and 100.,General,45,15,0,15,0,15,0,0
Design a microservice architecture using Python and Flask for a web application,Programming,27,12,5,10,0,0,0,0
"Design a Python GUI application using wxPython to display a simple clock with hours, minutes, and seconds.",Programming,40,15,10,15,0,0,0,0
Imagine a world with no pain. Describe a typical day.,Writing,12,12,0,0,0,0,0,0
What is the syntax for creating a Java interface?,General,30,15,0,15,0,0,0,0
"Discuss the advantages and disadvantages of using deep learning models, and provide recommendations for choosing the right model.",Research,27,12,0,10,0,5,0,0
Build a model to classify images into different categories using convolutional neural networks. ,Machine Learning,22,12,0,10,0,0,0,0
"Create a dashboard to visualize the performance of a machine learning model, including metrics such as accuracy, precision, and recall.",Research,37,12,5,10,0,10,0,0
Write a C++ program to find the maximum value in an array of integers.,Programming,30,15,0,15,0,0,0,0
I am trying to automate my cloud deployment by using a Terraform script to create a new AWS IAM user and then use the 'aws iam' command to update the user permissions. Please provide the Terraform configuration file and a bash script to automate the process.,DevOps,59,12,10,12,5,10,5,5
Write a PHP program to connect to a MySQL database and perform CRUD operations.,Programming,27,12,5,10,0,0,0,0
Create a model to classify images into different object categories based on their characteristics. The model should be able to handle images of varying sizes and formats.,Machine Learning,42,12,5,10,0,5,0,10
Please set up a CI/CD pipeline for a Python application.,DevOps,30,10,5,10,0,5,0,0
Develop a script to automate the deployment of a .NET application to a cloud platform using Azure DevOps. Please provide the code and a step-by-step explanation of how it works.,DevOps,54,12,10,12,5,10,5,0
"Write a 500-word article on the benefits of mindfulness for mental health, including a discussion of the current research and a description of a mindfulness exercise.",Writing,54,12,10,12,5,10,0,5
Create a C++ program to implement a simple calculator.,Programming,20,10,0,10,0,0,0,0
Implement a simple stack data structure in C++.,Programming,30,15,0,15,0,0,0,0
Create a simple game using Python and the Pygame library. Include characters that can move around the screen.,Programming,27,12,5,10,0,0,0,0
"Create a 5-page guide on how to improve your teamwork and collaboration skills. The guide should be written in a clear and concise tone, include actionable tips, and assume an audience with a basic understanding of team dynamics principles.",Writing,64,12,10,12,5,10,5,10
Write a C++ program to find the average value of all elements in an array.,Programming,30,15,0,15,0,0,0,0
"Design a system to generate synthetic data for machine learning models, including data augmentation and noise injection.",Research,35,12,10,13,0,0,0,0
What are some common machine learning algorithms for clustering? ,Research,27,12,5,10,0,0,0,0
Develop a classification model using support vector machines to predict customer churn based on demographic data and purchase history.,Machine Learning,27,12,5,10,0,0,0,0
I want to make a JavaScript program that takes an object and prints the keys and values.,General,27,12,0,10,0,5,0,0
"Train a regression model to predict house prices based on features such as number of bedrooms, square footage, and location in a city with a population of over 1 million.",Machine Learning,32,12,5,10,0,0,0,5
Can you analyze the sentiment analysis of Twitter data and suggest ways to improve the model?,Research,49,12,10,12,5,10,0,0
Write a Java program to find the factorial of a given number.,General,30,15,0,15,0,0,0,0
What's the command to update the kernel on our CentOS servers?,DevOps,25,10,5,10,0,0,0,0
Build a clustering model to group similar customers based on their shopping behavior and purchase history.,Machine Learning,27,12,5,10,0,0,0,0
Write a case study on a company that successfully implemented an AI-powered marketing platform. What were the results?,Writing,27,12,5,10,0,0,0,0
Develop a predictive model to forecast daily website traffic based on seasonal patterns and historical data.,Machine Learning,49,12,10,12,5,10,0,0
Develop a machine learning model to predict stock prices using historical data.,General,27,12,5,10,0,0,0,0
Develop a tool to automate the process of sending reminders to users using a scheduling library like schedule or APScheduler.,General,34,12,10,12,0,0,0,0
Implement a JavaScript function to validate a password based on certain conditions.,Programming,15,10,0,5,0,0,0,0
"Create a GUI application using tkinter to display a simple to-do list with add, remove, and mark as done functionality.",Programming,40,15,10,15,0,0,0,0
Can you develop a model to predict the likelihood of a customer making a purchase based on their purchase history?,Machine Learning,37,12,5,10,0,10,0,0
Can you help me write a PowerShell script to backup and restore a SQL Server database on a Windows server? The database is named 'mydb' and the password is 'mysecretpassword'. Please make sure the script works with all Windows versions.,DevOps,54,12,10,12,5,10,0,5
"Describe a world where technology has advanced to the point where humans are no longer needed. Write in the style of a science fiction novel, focusing on the theme of obsolescence.",Writing,49,12,10,12,5,10,0,0
"Compose a 30-second news headline for a breaking news story about a new discovery in medicine, including a catchy title and a memorable sound bite.",Writing,59,12,10,12,5,10,5,5
Can you generate a list of 5 random numbers between 1 and 1000?,General,35,10,0,10,0,10,0,5
Write a product description for a new smart home device. Focus on its convenience and energy efficiency.,Writing,27,12,5,10,0,0,0,0
Write a scene from a romance novel where the couple shares their first kiss.,Writing,17,12,0,5,0,0,0,0
"Create a short story about a character who discovers a hidden talent for music. The story should be 2-3 pages long, written in the first person, and include a sense of joy and wonder. Use vivid descriptions to bring the character to life.",Writing,52,12,10,13,0,12,0,5
Build a simple RESTful API using Node.js and Express.js to manage a list of books.,Programming,34,12,10,12,0,0,0,0
Can you generate a PHP script to connect to a PostgreSQL database and retrieve all the tables in the database?,General,39,12,5,12,0,10,0,0
Can you create a Dockerfile?,DevOps,15,10,0,5,0,0,0,0
Build a Java program to simulate a bank system with methods to deposit and withdraw money.,Programming,27,12,5,10,0,0,0,0
Write a C++ program that takes two numbers as input and prints their sum.,General,45,15,0,15,0,15,0,0
Write a Python script to convert a string to uppercase.,Programming,30,15,0,15,0,0,0,0
Describe a person who is struggling to cope with the loss of a loved one. Use sensory details to convey their emotions and experiences.,Writing,34,12,10,12,0,0,0,0
Write a JavaScript function that takes a string and prints its characters in reverse order.,General,22,12,0,10,0,0,0,0
Build a recommender system for music based on user listening history.,Machine Learning,22,12,0,10,0,0,0,0
Can you help me write a Python script to automate the deployment of a Pyramid application to a cloud platform? The application is named 'myapp' and the database is named 'mydb'. Please make sure the script works with all cloud platforms.,DevOps,40,12,10,8,0,5,0,5
Write a sci-fi short story about a group of astronauts who discover a way to travel faster than light.,Writing,12,12,0,0,0,0,0,0
Write a short script for a horror movie scene where a group of friends discover a mysterious and abandoned asylum. Incorporate jump scares and atmospheric tension.,Writing,39,12,10,12,0,5,0,0
Write a short story about a group of friends who stumble upon a hidden world within their own dreams.,Writing,22,12,0,10,0,0,0,0
Create a Jenkinsfile to automate the deployment of our Spring Boot application to our company's production environment.,DevOps,34,12,10,12,0,0,0,0
I want to make a program that finds the first duplicate in an array.,General,22,12,0,10,0,0,0,0
Create a character profile for a villain in a story. Include their backstory and motivations.,Writing,30,10,5,10,0,5,0,0
Implement a Python script to automate Azure DevOps pipeline for a .NET Core application. Use Azure DevOps API and handle pipeline states. quality: poor,DevOps,34,12,10,12,0,0,0,0
Write a poem.,Research,5,5,0,0,0,0,0,0
Use a Python library to send emails using SMTP and include attachments.,Programming,32,12,5,10,0,5,0,0
Write a 15-minute script for a social media video on the latest trends in AI research.,Writing,49,12,10,12,0,10,0,5
Create a script for a 10-minute panel discussion on the future of space exploration. Include a mix of experts and personal perspectives.,Writing,42,12,5,10,0,10,0,5
Write a Python function that generates a random binary tree with 100 nodes and prints the pre-order traversal.,Programming,45,15,0,15,0,15,0,0
Analyze customer purchase behavior and recommend products to customers based on their browsing history and purchase records using a collaborative filtering approach.,Machine Learning,34,12,10,12,0,0,0,0
Write a scene in a romance novel.,Writing,5,5,0,0,0,0,0,0
Write a JavaScript code to check if a string is a valid email address.,Programming,35,10,5,10,0,10,0,0
Write a Python function to check if a number is prime.,General,30,15,0,15,0,0,0,0
Develop a Python script to automate the process of checking for software updates on a Linux server.,DevOps,44,12,10,12,0,10,0,0
Develop a Node.js API to manage a list of users. Include CRUD operations for users and ensure data validation.,Programming,22,12,0,10,0,0,0,0
Write a C++ program to find the maximum value in an array of integers.,Programming,30,15,5,10,0,0,0,0
Design a data structure to represent a graph and provide methods to add edges and vertices.,General,30,15,5,10,0,0,0,0
Train a model to predict the performance of a car based on its features and usage patterns and determine the top 5 most frequently used features.,Machine Learning,32,12,0,10,0,10,0,0
Analyze the performance of a neural network model on a dataset of medical images to predict the presence of breast cancer. Compare the results with current state-of-the-art models and provide recommendations for improvement.,Research,44,12,10,12,0,10,0,0
Can you write a function that adds two numbers together?,General,30,10,0,10,0,10,0,0
Build a Python script to simulate a coin toss.,General,30,10,5,10,0,5,0,0
Write a Java program to find the maximum value in an array of integers.,Programming,35,15,5,15,0,0,0,0
Describe the process of building a chatbot using natural language processing. ,Research,20,10,5,5,0,0,0,0
Develop a recommender system for a e-commerce website. The system should be able to recommend products to users based on their past purchases and browsing history. Use a dataset from a reputable source and evaluate the system's performance using metrics such as precision and recall. Consider using collaborative filtering to improve the system's performance.,Machine Learning,54,12,10,12,5,10,0,5
Please set up a Jenkins pipeline for a Java project and integrate it with GitLab CI/CD.,DevOps,34,12,10,12,0,0,0,0
Compare and contrast the differences between Python 2 and Python 3.,Research,27,12,5,10,0,0,0,0
Develop a marketing strategy for a new business.,Writing,20,10,5,5,0,0,0,0
"Design a Go program to implement a basic web server using the net/http package, including request and response formatting, error handling, and logging.",Research,37,15,10,12,0,0,0,0
"Write a Python function to preprocess text data for sentiment analysis, including tokenization, stemming, and lemmatization.",Research,37,15,10,12,0,0,0,0
Develop a Python script to display 'Hello World' on the browser.,Programming,37,12,5,10,0,10,0,0
Create a Swift function to implement a basic hash table with an average time complexity of O(1) for insertions and deletions.,Research,42,12,5,10,0,10,0,5
Create a JavaScript program to fetch the current weather for a specific city and display it in the console. Use the OpenWeatherMap API and handle cases where the API returns an error or is slow to respond.,Research,59,12,10,12,5,10,0,10
"Discuss the differences between supervised and unsupervised learning, and provide examples of each",Research,40,15,0,10,0,0,15,0
Create a Python script to simulate a simple game of tic-tac-toe.,Programming,30,15,0,15,0,0,0,0
"Predict customer churn for telecom users based on usage patterns over the past 3 months, with a focus on retaining high-value customers. Output a probability score and top 5 features contributing to churn.",Machine Learning,52,12,10,13,0,12,0,5
Write a Python script to automate the backup of our MySQL databases on our company's testing environment.,DevOps,44,12,10,12,0,10,0,0
"Make a C++ program that takes an array of integers, sorts them and prints the result.",General,45,15,0,15,0,15,0,0
Analyze the impact of data normalization on the performance of a neural network model for a binary classification task. Compare the results with different normalization techniques and provide recommendations for optimal data preprocessing.,Research,49,12,10,12,0,10,5,0
Write a Python script to find the prime numbers up to a given number.,General,30,15,0,15,0,0,0,0
Develop a recommendation system for a streaming service based on user watch history and ratings. Provide a list of top 10 show recommendations for a user.,Machine Learning,49,12,10,12,5,10,0,0
Write a short story about a boy who discovers a mysterious island.,Writing,12,12,0,0,0,0,0,0
"Design a predictive model to forecast energy consumption in a smart home using time-series analysis and weather data. Implement the model in R, include a detailed report in a PDF document, and provide a sample dataset. ",Research,52,12,10,13,0,12,5,0
Design a Ruby class to represent a person.,General,27,12,0,15,0,0,0,0
Implement a queue data structure using a linked list in Python.,General,35,15,5,15,0,0,0,0
Create a script for a 5-minute podcast episode on the benefits of meditation for mental health. Include a mix of personal stories and expert opinions.,Writing,59,12,10,12,5,10,5,5
"Craft a social media post for a new line of eco-friendly clothing, including a call-to-action and a hashtag.",Writing,32,12,5,10,0,5,0,0
What technologies can I use to build a mobile app for tracking fitness goals?,Research,29,12,5,12,0,0,0,0
Analyze the market trends of a particular stock or cryptocurrency.,Research,32,12,5,5,0,10,0,0
Create a model to classify images into different animal species. The model should be able to handle images of varying sizes and formats. Use a dataset from a reputable source and evaluate the model's performance using accuracy and precision metrics. Consider using data augmentation to improve the model's performance. Report the results in a table format.,Machine Learning,59,12,10,12,5,12,0,10
Create a model to predict the probability of a student being accepted into a certain university based on their academic performance and demographic data. Use logistic regression and cross-validation. Provide a detailed report and code for the same. ,Machine Learning,54,12,10,12,5,12,0,5
Use a PHP library to connect to a MySQL database.,Programming,30,10,5,10,0,5,0,0
Build a Python script to calculate the volume of a cube.,General,30,15,0,15,0,0,0,0
What is the difference between throw and throws in Java?,General,40,15,10,15,0,0,0,0
Implement a Java method to find the maximum and minimum elements in an array.,Programming,30,15,5,10,0,0,0,0
Can you help me write a Python script to automate the deployment of a Flask application to a cloud platform? The application is named 'myapp' and the database is named 'mydb'. Please make sure the script works with all cloud platforms.,DevOps,39,12,10,12,0,0,0,5
Write a Bash script to automate AWS Lambda deployment for a Nodejs application. Use AWS CLI and handle deployment states. quality: poor,DevOps,40,12,10,13,0,0,0,5
Examine the applications of AI in robotics. ,Research,27,12,5,10,0,0,0,0
Build a simple machine learning model in Python using scikit-learn to classify images.,General,27,12,5,10,0,0,0,0
What's the command to update the kernel on our CentOS servers?,DevOps,30,10,5,10,0,5,0,0
Write a scene in a mystery novel.,Writing,5,5,0,0,0,0,0,0
Develop a model to predict the likelihood of a user engaging with a marketing campaign based on their past interactions and preferences. The model should be able to handle historical data and make predictions for future time steps.,Machine Learning,32,12,5,10,0,0,0,5
Classify text as hate speech or not hate speech.,Machine Learning,30,15,0,15,0,0,0,0
Create a Java program to find the factorial of a number,Programming,30,15,0,15,0,0,0,0
"Design a database schema to store information about books, including title, author, and publication date.",General,35,15,10,10,0,0,0,0
Design a C++ program to solve a system of linear equations using Gaussian elimination.,Programming,40,15,10,15,0,0,0,0
Develop a model to predict the stock prices of a company. The model should be able to handle historical data and make predictions for future time steps.,Machine Learning,37,12,5,10,0,5,0,5
What is the difference between a getter and a setter?,General,25,10,0,10,0,5,0,0
Study the effect of diet on cardiovascular health.,Research,22,12,5,5,0,0,0,0
"Create a Python script to generate a random quiz with 10 questions on history, with each question having 4 possible answers and the correct answer being a random choice between them, and save the quiz to a CSV file named 'history_quiz.csv'.",General,45,15,10,15,0,10,0,5
Develop a model to predict the likelihood of a user responding to a survey based on their past engagement with the survey.,Machine Learning,54,12,10,12,5,10,5,0
"Build a model to classify news articles as positive, negative, or neutral.",Machine Learning,25,15,0,10,0,0,0,0
Analyze the performance of different data compression algorithms on a given dataset.,Research,22,12,0,10,0,0,0,0
Write a short story about a character who discovers a hidden talent for game development. What does he learn?,Writing,32,12,5,10,0,5,0,0
Can you suggest a CI/CD tool for our company's applications?,DevOps,20,10,5,5,0,0,0,0
Develop a Terraform configuration to provision an AWS RDS instance with the necessary security groups and configure it to run a MySQL database.,DevOps,34,12,10,12,0,0,0,0
Create a deployment script for a .NET Core application using Azure DevOps and output the YAML file in the format specified by Azure DevOps.,DevOps,44,12,10,12,0,10,0,0
Can you provide a general outline of how to automate the deployment of a Perl application to a cloud platform?,DevOps,44,12,10,12,0,10,0,0
"Create a Python script that generates a password with at least 12 characters, including uppercase letters, lowercase letters, and digits. The password should not contain any of the user's name or birthdate. Return the password as a string.",General,55,15,0,15,0,15,0,10
"Design a database schema for a social media platform with tables for users, posts, comments and likes",Programming,35,15,10,10,0,0,0,0
"Create a character profile for an antagonist in a science fiction novel. Include their backstory, motivations, and personality traits.",Writing,39,12,10,12,5,0,0,0
Implement a decision tree to predict customer segment based on demographic data and purchase history.,Machine Learning,37,12,5,10,0,10,0,0
Create a Python script to print the sum of numbers in a list.,Programming,40,15,0,10,0,15,0,0
"Investigate the feasibility of implementing a reinforcement learning algorithm to optimize the navigation system of self-driving cars in urban environments, considering factors such as traffic congestion, pedestrian safety, and road sign recognition. Provide a 5-page report in APA format.",Research,50,12,10,13,0,10,0,5
Create a simple GUI application using JavaScript and the DOM library to display a list of items and allow users to add or remove items.,Programming,39,12,5,12,0,10,0,0
Write a Ruby method to check if a given number is odd or even.,Programming,37,12,5,10,0,10,0,0
Generate a 5-minute script for a short YouTube video explaining the concept of blockchain technology and its applications in finance. Include animations and graphics.,Writing,54,12,10,12,5,10,0,5
Write a short story about a character who must make a difficult choice.,Writing,10,10,0,0,0,0,0,0
"Implement a Python class to represent a student with attributes for name, age, and grades. Include methods to calculate the average grade and print the student's report card.",Programming,37,12,0,10,5,10,0,0
Write a poem about love. I want it to be beautiful and emotional. Just use your words to make me feel something.,Writing,25,10,5,5,0,5,0,0
Write a shell script to automate AWS CodeBuild deployment for a frontend Angular application. Use AWS CLI and handle build states. quality: excellent,DevOps,54,12,10,12,5,10,0,5
I need a C++ program that calculates the factorial of a number. The program should take an integer input and return the factorial as a string 'x'.,General,34,12,0,12,0,10,0,0
Can you write a script to deploy a Node.js application to an Azure Kubernetes Service (AKS) cluster? Please provide the code and a step-by-step explanation of how it works.,DevOps,55,15,15,15,0,10,0,0
